"Ámbito","Área","Indicador","Sex","Año","Fuente","Unidad","Valor"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2019","Household income and expenditure survey","1000 personas","173.88"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2020","Household income and expenditure survey","1000 personas","172.96"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2015","Household income and expenditure survey","1000 personas","367.66"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2019","Household income and expenditure survey","1000 personas","371.94"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2020","Household income and expenditure survey","1000 personas","414.06"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2015","Household income and expenditure survey","1000 personas","139.94"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2019","Household income and expenditure survey","1000 personas","134.57"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2020","Household income and expenditure survey","1000 personas","154.21"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Male","2015","Household income and expenditure survey","1000 personas","134.1"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Male","2019","Household income and expenditure survey","1000 personas","148.47"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Male","2020","Household income and expenditure survey","1000 personas","193.54"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2015","Household income and expenditure survey","1000 personas","577.19"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2019","Household income and expenditure survey","1000 personas","714.2"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2020","Household income and expenditure survey","1000 personas","693.81"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2015","Household income and expenditure survey","1000 personas","103.11"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2019","Household income and expenditure survey","1000 personas","123.19"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2020","Household income and expenditure survey","1000 personas","118.53"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2015","Household income and expenditure survey","1000 personas","271.46"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2019","Household income and expenditure survey","1000 personas","342.65"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2020","Household income and expenditure survey","1000 personas","324.16"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Female","2015","Household income and expenditure survey","1000 personas","107.89"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Female","2019","Household income and expenditure survey","1000 personas","135.08"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Female","2020","Household income and expenditure survey","1000 personas","124.43"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Female","2015","Household income and expenditure survey","1000 personas","94.74"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Female","2019","Household income and expenditure survey","1000 personas","113.27"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Female","2020","Household income and expenditure survey","1000 personas","126.69"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2016","Labour force survey","1000 personas","1439.25"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2017","Labour force survey","1000 personas","1536"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2018","Labour force survey","1000 personas","1666.91"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2016","Labour force survey","1000 personas","276.44"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2017","Labour force survey","1000 personas","294.11"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2018","Labour force survey","1000 personas","305.84"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2016","Labour force survey","1000 personas","715.57"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2017","Labour force survey","1000 personas","717.71"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2018","Labour force survey","1000 personas","780.92"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2016","Labour force survey","1000 personas","232.28"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2017","Labour force survey","1000 personas","259.56"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2018","Labour force survey","1000 personas","282.74"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Total","2016","Labour force survey","1000 personas","214.95"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Total","2017","Labour force survey","1000 personas","264.63"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Total","2018","Labour force survey","1000 personas","297.41"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2016","Labour force survey","1000 personas","829.44"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2017","Labour force survey","1000 personas","853.92"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2018","Labour force survey","1000 personas","902.64"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2016","Labour force survey","1000 personas","163.68"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2017","Labour force survey","1000 personas","169.89"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2018","Labour force survey","1000 personas","170.08"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2016","Labour force survey","1000 personas","407.79"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2017","Labour force survey","1000 personas","393.85"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2018","Labour force survey","1000 personas","415.72"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2016","Labour force survey","1000 personas","132.32"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2017","Labour force survey","1000 personas","141.83"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2018","Labour force survey","1000 personas","152.92"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Male","2016","Labour force survey","1000 personas","125.65"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Male","2017","Labour force survey","1000 personas","148.35"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Male","2018","Labour force survey","1000 personas","163.93"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2016","Labour force survey","1000 personas","609.81"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2017","Labour force survey","1000 personas","682.08"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2018","Labour force survey","1000 personas","764.27"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2016","Labour force survey","1000 personas","112.76"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2017","Labour force survey","1000 personas","124.21"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2018","Labour force survey","1000 personas","135.76"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2016","Labour force survey","1000 personas","307.78"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2017","Labour force survey","1000 personas","323.86"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2018","Labour force survey","1000 personas","365.2"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Female","2016","Labour force survey","1000 personas","99.96"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Female","2017","Labour force survey","1000 personas","117.73"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Female","2018","Labour force survey","1000 personas","129.82"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Female","2016","Labour force survey","1000 personas","89.31"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Female","2017","Labour force survey","1000 personas","116.27"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Female","2018","Labour force survey","1000 personas","133.48"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2015","Household survey","1000 personas","9310.55"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2016","Household survey","1000 personas","9030.09"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2017","Household survey","1000 personas","8453.72"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2018","Household survey","1000 personas","8398.99"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2019","Household survey","1000 personas","8402.36"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2020","Household survey","1000 personas","8195.7"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2015","Household survey","1000 personas","1720.89"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2016","Household survey","1000 personas","1317.27"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2017","Household survey","1000 personas","1240.13"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2018","Household survey","1000 personas","1200.08"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2019","Household survey","1000 personas","1136.94"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2020","Household survey","1000 personas","1063.04"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2015","Household survey","1000 personas","7665.03"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2016","Household survey","1000 personas","5847.22"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2017","Household survey","1000 personas","5410.17"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2018","Household survey","1000 personas","5333.67"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2019","Household survey","1000 personas","5321.2"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2020","Household survey","1000 personas","5223.02"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2015","Household survey","1000 personas","2135.33"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2016","Household survey","1000 personas","1301.31"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2017","Household survey","1000 personas","1253.94"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2018","Household survey","1000 personas","1288.65"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2019","Household survey","1000 personas","1343.93"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2020","Household survey","1000 personas","1359.61"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Total","2015","Household survey","1000 personas","1518.18"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Total","2016","Household survey","1000 personas","564.3"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Total","2017","Household survey","1000 personas","549.48"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Total","2018","Household survey","1000 personas","576.59"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Total","2019","Household survey","1000 personas","600.29"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Total","2020","Household survey","1000 personas","550.02"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2015","Household survey","1000 personas","7313.8"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2016","Household survey","1000 personas","7202.93"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2017","Household survey","1000 personas","6774.27"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2018","Household survey","1000 personas","6730.18"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2019","Household survey","1000 personas","6730.15"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2020","Household survey","1000 personas","6499.07"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2015","Household survey","1000 personas","1386.73"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2016","Household survey","1000 personas","1106.75"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2017","Household survey","1000 personas","1042.98"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2018","Household survey","1000 personas","1021.86"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2019","Household survey","1000 personas","954.7"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2020","Household survey","1000 personas","885.45"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2015","Household survey","1000 personas","5322.68"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2016","Household survey","1000 personas","4552.03"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2017","Household survey","1000 personas","4236.56"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2018","Household survey","1000 personas","4181.77"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2019","Household survey","1000 personas","4163.14"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2020","Household survey","1000 personas","4050.8"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2015","Household survey","1000 personas","1465.46"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2016","Household survey","1000 personas","1057.48"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2017","Household survey","1000 personas","1019.23"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2018","Household survey","1000 personas","1030.9"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2019","Household survey","1000 personas","1095"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2020","Household survey","1000 personas","1093.54"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Male","2015","Household survey","1000 personas","1025.4"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Male","2016","Household survey","1000 personas","486.67"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Male","2017","Household survey","1000 personas","475.49"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Male","2018","Household survey","1000 personas","495.65"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Male","2019","Household survey","1000 personas","517.31"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 65+","Male","2020","Household survey","1000 personas","469.28"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2015","Household survey","1000 personas","3839.16"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2016","Household survey","1000 personas","1827.16"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2017","Household survey","1000 personas","1679.46"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2018","Household survey","1000 personas","1668.81"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2019","Household survey","1000 personas","1672.21"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2020","Household survey","1000 personas","1696.63"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2015","Household survey","1000 personas","334.16"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2016","Household survey","1000 personas","210.52"
"Indicadores de empleo: Agricultura","Br","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2017","Household survey","1000 personas","197.16"
